sheet,longname,section,keystrokes,description
TableSheet,unselect-expr,,z\,unselect rows matching Python expression in any visible column
TableSheet,unselect-row,,u,unselect current row
TableSheet,unselect-rows,,gu,unselect all rows
TableSheet,view-cell,,,view contents of current cell in a new sheet
TableSheet,visibility-col,,zv,
TableSheet,visibility-sheet,,v,
TextCanvas,delete-cursor,,d,delete first item under cursor
TextCanvas,delete-selected,,gd,delete selected rows on source sheet
TextCanvas,dive-cursor,,Enter,dive into source rows under cursor
TextCanvas,dive-selected,,gEnter,dive into selected source rows
TextCanvas,end-cursor,,BUTTON1_RELEASED,end cursor box with left mouse button release
TextCanvas,go-down,,Down,
TextCanvas,go-left,,Left,
TextCanvas,go-right,,Right,
TextCanvas,go-up,,Up,
TextCanvas,move-cursor,,LeftClick,start cursor box with left mouse button press
TextCanvas,resize-cursor-max,,g_,
TextCanvas,resize-cursor-min,,z_,
TextCanvas,resize-cursor-min-height,,gzUp,
TextCanvas,resize-cursor-min-width,,gzLeft,
TextCanvas,resize-cursor-shorter,,zUp,decrease cursor height by one character
TextCanvas,resize-cursor-taller,,zDown,increase cursor height by one character
TextCanvas,resize-cursor-thinner,,Ctrl+Left,decrease cursor width by one character
TextCanvas,resize-cursor-wider,,Ctrl+Right,increase cursor width by one character
TextCanvas,select-all,,gs,
TextCanvas,select-cursor,,s,
TextCanvas,select-top-cursor,,zs,
TextCanvas,slide-bottom-obj,,gShift+J,slide all selected objects all the way bottom
TextCanvas,slide-down-obj,,Shift+J,slide selected objects down one character
TextCanvas,slide-left-obj,,Shift+H,slide selected objects left one character
TextCanvas,slide-leftmost-obj,,gShift+H,slide selected objects all the way left
TextCanvas,slide-right-obj,,Shift+L,slide selected objects right one character
TextCanvas,slide-rightmost-obj,,gShift+L,slide all selected objects all the way right
TextCanvas,slide-top-obj,,gShift+K,slide all selected objects all the way top
TextCanvas,slide-up-obj,,Shift+K,slide selected objects up one character
TextCanvas,toggle-all,,gt,
TextCanvas,toggle-cursor,,t,
TextCanvas,toggle-top-cursor,,zt,
TextCanvas,unselect-all,,gu,
TextCanvas,unselect-cursor,,u,
TextCanvas,unselect-top-cursor,,zu,
TextSheet,sysopen-sheet,,Ctrl+O,open copy of text sheet in $EDITOR and reload on exit
ThreadsSheet,add-row,,a,invalid command
ThreadsSheet,cancel-thread,,Ctrl+C,abort thread at current row
XmlSheet,addcol-xmlattr,,za,add column for xml attribute
XmlSheet,visibility,,v,show only columns in current row attributes
ZipSheet,extract-file,,x,extract current file to current directory
ZipSheet,extract-file-to,,zx,extract current file to given pathname
ZipSheet,extract-selected,,gx,extract selected files to current directory
ZipSheet,extract-selected-to,,gzx,extract selected files to given directory
